iter	Passed	Remaining
0	176	176432
1	191	95744
2	207	68844
3	221	55268
4	235	46843
5	249	41346
6	263	37348
7	276	34340
8	290	32009
9	304	30188
10	321	28887
11	348	28720
12	376	28577
13	394	27769
14	409	26911
15	424	26088
16	438	25359
17	451	24651
18	466	24106
19	482	23662
20	497	23188
21	512	22786
22	531	22556
23	549	22349
24	567	22116
25	582	21830
26	599	21611
27	613	21305
28	629	21078
29	644	20829
30	658	20595
31	674	20400
32	690	20236
33	705	20058
34	720	19864
35	735	19684
36	750	19540
37	764	19356
38	777	19163
39	791	19001
40	805	18844
41	820	18726
42	836	18608
43	849	18456
44	862	18300
45	874	18142
46	888	18017
47	902	17892
48	915	17771
49	929	17654
50	945	17584
51	962	17545
52	977	17461
53	992	17379
54	1006	17287
55	1021	17211
56	1035	17129
57	1050	17056
58	1065	17000
59	1083	16974
60	1097	16891
61	1112	16825
62	1127	16775
63	1145	16756
64	1162	16729
65	1178	16681
66	1194	16631
67	1211	16599
68	1230	16597
69	1245	16543
70	1261	16502
71	1275	16440
72	1294	16434
73	1310	16395
74	1325	16351
75	1341	16310
76	1355	16254
77	1369	16189
78	1383	16124
79	1396	16056
80	1409	15989
81	1426	15968
82	1443	15943
83	1458	15901
84	1473	15860
85	1486	15796
86	1499	15741
87	1513	15685
88	1529	15654
89	1543	15608
90	1557	15562
91	1576	15556
92	1593	15538
93	1609	15513
94	1625	15488
95	1643	15477
96	1659	15446
97	1675	15425
98	1691	15398
99	1707	15366
100	1722	15336
101	1738	15303
102	1753	15269
103	1771	15259
104	1786	15224
105	1801	15190
106	1816	15156
107	1832	15131
108	1848	15107
109	1863	15079
110	1878	15042
111	1892	15006
112	1907	14971
113	1922	14937
114	1936	14903
115	1952	14876
116	1966	14841
117	1980	14805
118	1998	14793
119	2012	14761
120	2028	14735
121	2042	14702
122	2058	14675
123	2072	14642
124	2087	14612
125	2102	14583
126	2117	14554
127	2133	14532
128	2146	14494
129	2160	14457
130	2173	14415
131	2186	14375
132	2199	14338
133	2213	14304
134	2226	14265
135	2239	14227
136	2252	14188
